"","NMDS1","NMDS2","Species","distance"
"Arborescent_bryozoans",0.294913700173208,-0.330815194097723,"Arborescent_bryozoans",0.44318481832726
"Barnacles",0.21816675033466,0.204953119242508,"Barnacles",0.299336786978847
"Bivalves",0.0895564729439399,0.142727509506136,"Bivalves",0.168497785789555
"Brown_algae",-0.330680806379303,-0.147020148150306,"Brown_algae",0.361890480214393
"Colonial_ascidians",0.320033933261765,0.161556524741843,"Colonial_ascidians",0.35849997088655
"Crustose_coralline_algae",-0.169876767886665,0.111684313812017,"Crustose_coralline_algae",0.203301505698509
"Cyanobacteria",0.0128255356153997,-0.249442013603172,"Cyanobacteria",0.249771520622802
"Encrusting_bryozoans",-0.30062026398794,0.121800718772608,"Encrusting_bryozoans",0.324357762684513
"Hydroids",-0.0717164123919028,-0.126409719628844,"Hydroids",0.145336371989287
"Red_algae",-0.0230005129344384,0.134887645959828,"Red_algae",0.136834573949098
"Soft_tube-building_polychaetes",0.155561455453035,0.128244815481271,"Soft_tube-building_polychaetes",0.201608777389507
"Solitary_ascidians",0.224691236378442,-0.036804315828614,"Solitary_ascidians",0.227685549319418
"Sponge",-0.100811149620054,0.110634991540236,"Sponge",0.149676281490506
"Turf",-0.0574200619424087,0.126864621573878,"Turf",0.139254068955106
